id,collection,datetime,title,country_codes,hazard_codes,impact_category,impact_type,impact_value,impact_unit,estimate_type
emdat-impact-2017-0010-BLR-total_affected,emdat-impacts,2017-01-05T00:00:00Z,Severe winter conditions in Belarus - total_affected,BLR,nat-met-ext-sev,people,affected_total,50539.0,count,primary
emdat-impact-2017-0010-BLR-no_injured,emdat-impacts,2017-01-05T00:00:00Z,Severe winter conditions in Belarus - no_injured,BLR,nat-met-ext-sev,people,injured,539.0,count,primary
emdat-impact-2017-0010-BLR-no_affected,emdat-impacts,2017-01-05T00:00:00Z,Severe winter conditions in Belarus - no_affected,BLR,nat-met-ext-sev,people,affected_total,50000.0,count,primary
emdat-impact-2017-0010-UKR-total_deaths,emdat-impacts,2017-01-01T00:00:00Z,Severe winter conditions in Ukraine - total_deaths,UKR,nat-met-ext-sev,people,death,37.0,count,primary
emdat-impact-2018-0490-HUN-total_deaths,emdat-impacts,2018-12-01T00:00:00Z,Cold wave in Hungary - total_deaths,HUN,nat-met-ext-col,people,death,179.0,count,primary
emdat-impact-2018-0061-ROU-total_deaths,emdat-impacts,2018-02-23T00:00:00Z,Cold wave in Romania - total_deaths,ROU,nat-met-ext-col,people,death,2.0,count,primary
emdat-impact-2018-0061-POL-total_deaths,emdat-impacts,2018-02-23T00:00:00Z,Cold wave in Poland - total_deaths,POL,nat-met-ext-col,people,death,9.0,count,primary
emdat-impact-2018-0061-LTU-total_deaths,emdat-impacts,2018-02-23T00:00:00Z,Cold wave in Lithuania - total_deaths,LTU,nat-met-ext-col,people,death,5.0,count,primary
emdat-impact-2018-0061-EST-total_deaths,emdat-impacts,2018-02-01T00:00:00Z,Cold wave in Estonia - total_deaths,EST,nat-met-ext-col,people,death,7.0,count,primary
emdat-impact-2019-0055-MDA-total_affected,emdat-impacts,2019-01-11T00:00:00Z,Severe winter conditions in Republic of Moldova - total_affected,MDA,nat-met-ext-sev,people,affected_total,5460.0,count,primary
emdat-impact-2019-0055-MDA-no_affected,emdat-impacts,2019-01-11T00:00:00Z,Severe winter conditions in Republic of Moldova - no_affected,MDA,nat-met-ext-sev,people,affected_total,5460.0,count,primary
emdat-impact-2018-0490-HUN-total_deaths,emdat-impacts,2018-12-01T00:00:00Z,Cold wave in Hungary - total_deaths,HUN,nat-met-ext-col,people,death,179.0,count,primary
desinventar-impact-16003-deaths,desinventar-impacts,2023-05-08T00:00:00Z,OTHER in Në kanionet e lumit Osum on 2023-05-08 00:00:00+00:00 - deaths,ALB,OT,people,death,1.0,count,primary
emdat-impact-2023-0804-UKR-total_deaths,emdat-impacts,2023-11-26T00:00:00Z,Storm (Blizzard/Winter storm) in Ukraine of November 2023 - total_deaths,UKR,nat-met-sto-bli,people,death,12.0,count,primary
emdat-impact-2023-0804-UKR-total_affected,emdat-impacts,2023-11-26T00:00:00Z,Storm (Blizzard/Winter storm) in Ukraine of November 2023 - total_affected,UKR,nat-met-sto-bli,people,affected_total,23.0,count,primary
emdat-impact-2023-0804-UKR-no_injured,emdat-impacts,2023-11-26T00:00:00Z,Storm (Blizzard/Winter storm) in Ukraine of November 2023 - no_injured,UKR,nat-met-sto-bli,people,injured,23.0,count,primary
emdat-impact-2023-0804-RUS-total_deaths,emdat-impacts,2023-11-26T00:00:00Z,Storm (Blizzard/Winter storm) in Russian Federation of November 2023 - total_deaths,RUS,nat-met-sto-bli,people,death,2.0,count,primary
emdat-impact-2023-0804-MDA-total_deaths,emdat-impacts,2023-11-26T00:00:00Z,Storm (Blizzard/Winter storm) in Republic of Moldova of November 2023 - total_deaths,MDA,nat-met-sto-bli,people,death,4.0,count,primary
emdat-impact-2023-0804-MDA-total_affected,emdat-impacts,2023-11-26T00:00:00Z,Storm (Blizzard/Winter storm) in Republic of Moldova of November 2023 - total_affected,MDA,nat-met-sto-bli,people,affected_total,10.0,count,primary
emdat-impact-2023-0804-MDA-no_injured,emdat-impacts,2023-11-26T00:00:00Z,Storm (Blizzard/Winter storm) in Republic of Moldova of November 2023 - no_injured,MDA,nat-met-sto-bli,people,injured,10.0,count,primary
